:START_ID(Authors),Title,Year,:END_ID(Authors),:TYPE
1,Travel Agency: A LOGIDATA+ Application.,1994,2,Collaborate
3,The LOGIDATA+ Model.,1993,4,Collaborate
3,The LOGIDATA+ Model.,1993,5,Collaborate
3,The LOGIDATA+ Model.,1993,1,Collaborate
4,The LOGIDATA+ Model.,1993,5,Collaborate
4,The LOGIDATA+ Model.,1993,1,Collaborate
5,The LOGIDATA+ Model.,1993,1,Collaborate
6,Effective Implementation of Negation in Database Logic Query Languages.,1993,7,Collaborate
6,Effective Implementation of Negation in Database Logic Query Languages.,1993,8,Collaborate
6,Effective Implementation of Negation in Database Logic Query Languages.,1993,9,Collaborate
7,Effective Implementation of Negation in Database Logic Query Languages.,1993,8,Collaborate
7,Effective Implementation of Negation in Database Logic Query Languages.,1993,9,Collaborate
8,Effective Implementation of Negation in Database Logic Query Languages.,1993,9,Collaborate
